segment_id,forecast_day,daily_hazard,survival_probability,cumulative_failure_probability
SEG-049,1,1.689646887825802e-05,0.9999831035311217,1.689646887825802e-05
SEG-049,2,1.689646887825802e-05,0.9999662073477341,3.3792652265884904e-05
SEG-049,3,1.689646887825802e-05,0.9999493114498323,5.068855016765461e-05
SEG-049,4,1.689646887825802e-05,0.9999324158374115,6.758416258845212e-05
SEG-049,5,1.689646887825802e-05,0.999915520510467,8.44794895330514e-05
SEG-049,6,1.689646887825802e-05,0.9998986254689938,0.0001013745310062264
SEG-049,7,1.689646887825802e-05,0.9998817307129871,0.0001182692870128621
SEG-049,8,1.689646887825802e-05,0.9998648362424422,0.0001351637575578435
SEG-049,9,1.689646887825802e-05,0.9998479420573542,0.0001520579426458335
SEG-049,10,1.689646887825802e-05,0.9998310481577182,0.00016895184228182814
SEG-049,11,1.689646887825802e-05,0.9998141545435295,0.00018584545647049033
SEG-049,12,1.689646887825802e-05,0.9997972612147832,0.0002027387852168161
SEG-049,13,1.689646887825802e-05,0.9997803681714745,0.00021963182852546836
SEG-049,14,1.689646887825802e-05,0.9997634754135987,0.00023652458640133212
SEG-049,15,1.689646887825802e-05,0.9997465829411507,0.00025341705884929233
SEG-049,16,1.689646887825802e-05,0.9997296907541259,0.00027030924587412297
SEG-049,17,1.689646887825802e-05,0.9997127988525194,0.000287201147480598
SEG-049,18,1.689646887825802e-05,0.9996959072363264,0.0003040927636736024
SEG-049,19,1.689646887825802e-05,0.9996790159055421,0.0003209840944579101
SEG-049,20,1.689646887825802e-05,0.9996621248601616,0.0003378751398384061
SEG-049,21,1.689646887825802e-05,0.9996452341001801,0.0003547658998198644
SEG-049,22,1.689646887825802e-05,0.9996283436255928,0.0003716563744071699
SEG-049,23,1.689646887825802e-05,0.9996114534363949,0.00038854656360509665
SEG-049,24,1.689646887825802e-05,0.9995945635325816,0.00040543646741841854
SEG-049,25,1.689646887825802e-05,0.999577673914148,0.0004223260858520206
SEG-049,26,1.689646887825802e-05,0.9995607845810893,0.0004392154189106767
SEG-049,27,1.689646887825802e-05,0.9995438955334007,0.00045610446659927195
SEG-049,28,1.689646887825802e-05,0.9995270067710774,0.0004729932289225802
SEG-049,29,1.689646887825802e-05,0.9995101182941145,0.0004898817058854865
SEG-049,30,1.689646887825802e-05,0.9994932301025072,0.0005067698974927648
SEG-025,1,8.692818482813891e-06,0.9999913071815172,8.692818482813891e-06
SEG-025,2,8.692818482813891e-06,0.9999826144385995,1.7385561400518057e-05
SEG-025,3,8.692818482813891e-06,0.9999739217712462,2.6078228753778632e-05
SEG-025,4,8.692818482813891e-06,0.9999652291794567,3.477082054326175e-05
SEG-025,5,8.692818482813891e-06,0.9999565366632304,4.346333676963354e-05
SEG-025,6,8.692818482813891e-06,0.9999478442225664,5.2155777433560147e-05
SEG-025,7,8.692818482813891e-06,0.9999391518574643,6.0848142535707694e-05
